K 4th I-TDS	Des D 50eV	err final
T sample	D m-2 s-1	D m-2 s-1
4th I-TDS	4th I-TDS	4th I-TDS
1206.13902231913	8.34718733449441E15	520890756561417
1207.76839301342	8.34763745571332E15	602898825780723
1209.68796210225	8.4051872665412E15	623063374689879
1211.65496050255	1.00835201910452E16	589543152742588
1212.74161113911	9.81173025627554E15	597515598030245
1214.8552901817	8.2045389109622E15	638037719267127
1216.59954428401	9.17503402698931E15	574969473560111
1218.83076215307	9.88630787466389E15	620209455045460
1220.38971258319	1.04746031489422E16	642254591625004
1222.38284995405	9.23551555983418E15	601086180213029
1224.33728214281	1.05703514801711E16	628530121935721
1225.91687636422	9.88667740794164E15	641735400088560
1227.78122221102	1.17665322817553E16	635023080326656
1229.41007836915	1.01826933711816E16	617619773641009
1231.52071538504	1.29118230370135E16	682798018956313
1233.43927573732	1.14126210425434E16	678081509256295
1235.41592072569	1.40495886586641E16	622136348302426
1237.05666513188	1.25221948781988E16	658638260319487
1239.1820819081	1.31502083447566E16	661871980058153
1241.06950824889	1.49485343097698E16	695538842418612
1243.15757543631	1.34701766288979E16	637709574569353
1244.90731693748	1.25245343329379E16	677576742045166
1247.04491901242	1.41663733039223E16	675594964267052
1248.60025660674	1.56468856728944E16	725257676293741
1250.31155316097	1.44523556273215E16	644702045380994
1252.4001880728	1.32810007403693E16	741182364183919
1254.01493800739	1.42625447225711E16	713625104732491
1256.30601083525	1.6488105227886E16	766828733351217
1258.35494784553	1.68058917901282E16	735070859009858
1259.92832081179	1.73833767757408E16	749016309651648
1261.97876273267	1.6249231574835E16	791363895229905
1263.49747884437	1.68772452981206E16	747890774980332
1265.40429335464	1.71139801065802E16	727060242534917
1267.25554092129	1.74337364619199E16	777438944962343
1269.21719462147	1.79762200037285E16	806914441027430
1271.41064145558	1.74341598060676E16	768678701759043
1273.17100972472	1.90757601995431E16	740584488136684
1275.02970939597	1.79078678721319E16	761578889980294
1277.07455969256	1.9302134583828E16	801980495531736
1278.67559000391	1.88770817654255E16	819730532593540
1280.33001232482	1.95989277093486E16	849580200887416
1282.47759447357	2.06849374381905E16	813492851001667
1284.17076266092	2.37853949706237E16	826115119205499
1286.2996261877	2.12291256752443E16	829429731842700
1288.04063013031	2.22484180566282E16	828401292045451
1290.15972734373	2.3016014559995E16	848131307620309
1291.98979056462	2.18008789066966E16	828401292045451
1294.1400454581	2.52888526587881E16	877752834825947
1295.62330660205	2.16579571606873E16	829064398417440
1297.52290843817	2.51094368308952E16	879410637535509
1299.03962600525	2.35278678490457E16	863912876824766
1301.12913671925	2.40701126849815E16	868249960685577
1302.58051655116	2.59869389240604E16	903827489247718
1304.55706054332	2.82183546487845E16	953990764520680
1306.60753631352	2.708570247105E16	915475608248442
1308.36294781071	2.609203994365E16	934799280277119
1310.02540971637	2.70644436797484E16	923285505437048
1311.99997783102	3.02653642741421E16	899936323997365
1313.68290751404	2.89304745429352E16	962445518754827
1315.44705794061	3.29252416943035E16	927203155152175
1317.1072134707	3.1375749796397E16	984385650088754
1318.80576615544	2.94256000316883E16	931512830534806
1320.96988474189	3.14137990653107E16	954220341306510
1322.36996942391	3.36248477598183E16	984807936232561
1324.27918078345	3.09776704752984E16	1.03837243777122E15
1326.00292219243	3.44541179494696E16	1.00336528959261E15
1327.06504978975	3.38492258306624E16	1.00029225561878E15
1328.88244467228	3.45479579173549E16	987695972858367
1330.66772839151	3.57669170176769E16	1.05745081941104E15
1332.19777371149	3.64755666411173E16	1.04134439308298E15
1333.85573808808	3.65828682840654E16	1.10965134631327E15
1335.49938217124	3.89346379728598E16	1.09962746002233E15
1337.00293469544	3.73131735226118E16	1.06348436113168E15
1338.36178930882	4.02132408202539E16	1.06568962305466E15
