"ib","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
4.6561e+06,1,1.72e-07,1.72e-07,0,0
4.643e+06,1,1.725e-07,1.725e-07,0,0
4.63e+06,1,1.73e-07,1.73e-07,0,0
4.6171e+06,1,1.735e-07,1.735e-07,0,0
4.6042e+06,1,1.74e-07,1.74e-07,0,0
4.5914e+06,1,1.745e-07,1.745e-07,0,0
4.5786e+06,1,1.75e-07,1.75e-07,0,0
4.5659e+06,1,1.755e-07,1.755e-07,0,0
4.5532e+06,1,1.76e-07,1.76e-07,0,0
4.5406e+06,1,1.765e-07,1.765e-07,0,0
4.5281e+06,1,1.77e-07,1.77e-07,0,0
4.5156e+06,1,1.775e-07,1.775e-07,0,0
4.5031e+06,1,1.78e-07,1.78e-07,0,0
4.4907e+06,1,1.785e-07,1.785e-07,0,0
4.4784e+06,1,1.79e-07,1.79e-07,0,0
4.4661e+06,1,1.795e-07,1.795e-07,0,0
4.4539e+06,1,1.8e-07,1.8e-07,0,0
4.4417e+06,1,1.805e-07,1.805e-07,0,0
4.4295e+06,1,1.81e-07,1.81e-07,0,0
4.4174e+06,1,1.815e-07,1.815e-07,0,0
4.4054e+06,1,1.82e-07,1.82e-07,0,0
4.3934e+06,1,1.825e-07,1.825e-07,0,0
4.3815e+06,1,1.83e-07,1.83e-07,0,0
4.3696e+06,1,1.835e-07,1.835e-07,0,0
4.3578e+06,1,1.84e-07,1.84e-07,0,0
4.346e+06,1,1.845e-07,1.845e-07,0,0
4.3343e+06,1,1.85e-07,1.85e-07,0,0
4.3226e+06,1,1.855e-07,1.855e-07,0,0
4.3109e+06,1,1.86e-07,1.86e-07,0,0
4.2993e+06,1,1.865e-07,1.865e-07,0,0
4.2878e+06,1,1.87e-07,1.87e-07,0,0
4.2763e+06,1,1.875e-07,1.875e-07,0,0
4.2649e+06,1,1.88e-07,1.88e-07,0,0
4.2535e+06,1,1.885e-07,1.885e-07,0,0
4.2421e+06,1,1.89e-07,1.89e-07,0,0
4.2308e+06,1,1.895e-07,1.895e-07,0,0
4.2196e+06,1,1.9e-07,1.9e-07,0,0
4.2084e+06,1,1.905e-07,1.905e-07,0,0
4.1972e+06,1,1.91e-07,1.91e-07,0,0
4.1861e+06,1,1.915e-07,1.915e-07,0,0
4.175e+06,1,1.92e-07,1.92e-07,0,0
4.164e+06,1,1.925e-07,1.925e-07,0,0
4.1531e+06,1,1.93e-07,1.93e-07,0,0
4.1421e+06,1,1.935e-07,1.935e-07,0,0
4.1312e+06,1,1.94e-07,1.94e-07,0,0
4.1204e+06,1,1.945e-07,1.945e-07,0,0
4.1096e+06,1,1.95e-07,1.95e-07,0,0
4.0988e+06,1,1.955e-07,1.955e-07,0,0
4.0881e+06,1,1.96e-07,1.96e-07,0,0
4.0775e+06,1,1.965e-07,1.965e-07,0,0
4.0669e+06,1,1.97e-07,1.97e-07,0,0
4.0563e+06,1,1.975e-07,1.975e-07,0,0
4.0458e+06,1,1.98e-07,1.98e-07,0,0
4.0353e+06,1,1.985e-07,1.985e-07,0,0
4.0248e+06,1,1.99e-07,1.99e-07,0,0
4.0144e+06,1,1.995e-07,1.995e-07,0,0
4.0041e+06,1,2e-07,2e-07,0,0
3.9938e+06,1,2.005e-07,2.005e-07,0,0
3.9835e+06,1,2.01e-07,2.01e-07,0,0
3.9733e+06,1,2.015e-07,2.015e-07,0,0
3.9631e+06,1,2.02e-07,2.02e-07,0,0
3.9529e+06,1,2.025e-07,2.025e-07,0,0
3.9428e+06,1,2.03e-07,2.03e-07,0,0
3.9327e+06,1,2.035e-07,2.035e-07,0,0
3.9227e+06,1,2.04e-07,2.04e-07,0,0
